id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2464,Q,-0.04922499880194664,0.13461250066757202,0.040562499314546585,-0.06618468463420868,0.5215848684310913,0.8635977506637573,8
2465,T,0.27994999289512634,0.7195374965667725,0.18328750133514404,-0.184359610080719,0.617229163646698,0.6755671501159668,8
2466,E,0.14781250059604645,-0.13488750159740448,-0.025437500327825546,-0.06791310012340546,0.5496219396591187,0.8068963885307312,8
2467,B,0.09776250272989273,-0.0038499999791383743,0.016087500378489494,-0.0707734003663063,0.5369876623153687,0.819347083568573,8
2468,J,0.20858749747276306,0.1143999993801117,0.011824999935925007,-0.11135300993919373,0.5584017038345337,0.7800829410552979,8
2469,D,-0.13557499647140503,0.10587500035762787,0.01924999989569187,-0.09299812465906143,0.5410563349723816,0.8379008173942566,8
2470,T,0.2639999985694885,0.48510000109672546,0.22165000438690186,-0.16988982260227203,0.5997002124786377,0.7324672341346741,8
2471,R,0.09776250272989273,-0.24461250007152557,-0.023375000804662704,-0.01999153569340706,0.571861982345581,0.8091448545455933,8
2472,T,-0.22921249270439148,0.21876250207424164,0.023512499406933784,0.0028603042010217905,0.6026523113250732,0.8281115293502808,8
2473,Q,-0.31556248664855957,0.3349500000476837,0.06929999589920044,-0.07392432540655136,0.6150877475738525,0.8499386310577393,8
2474,R,-0.008799999952316284,-0.03464999794960022,-0.009487500414252281,-0.07637164741754532,0.5811312198638916,0.7844728231430054,8
2475,Y,-0.08016250282526016,-0.05926249921321869,0.028875000774860382,-0.15040305256843567,0.6578240394592285,0.721959114074707,8
2476,B,0.2106499969959259,0.1601874977350235,0.05444999784231186,-0.059041574597358704,0.5730856657028198,0.7576440572738647,8
2477,R,-0.06201250106096268,0.10051249712705612,-0.020212499424815178,-0.004175737965852022,0.5889931917190552,0.7910958528518677,8
2478,P,0.12127500027418137,-0.16898749768733978,-0.007424999959766865,-0.08524318039417267,0.6065221428871155,0.7832491397857666,8
2479,R,0.1073874980211258,-0.029424998909235,-0.06379999965429306,-0.03976893424987793,0.6203953623771667,0.7461263537406921,8
2480,L,-0.12911249697208405,-0.11137499660253525,-0.009487500414252281,-0.07617280632257462,0.6131604313850403,0.7697888612747192,8
2481,V,-0.38692501187324524,-0.3063499927520752,-0.06916250288486481,-0.10350629687309265,0.6446697115898132,0.8354535698890686,8
2482,I,-0.14409999549388885,-0.1775124967098236,-0.032999999821186066,-0.10910454392433167,0.6250911355018616,0.7666226625442505,8
2483,R,-0.24199999868869781,0.4670875072479248,0.038362499326467514,-0.021521110087633133,0.6243722438812256,0.8362641930580139,8
2484,Z,0.01677500084042549,0.02488750033080578,0.0010999999940395355,-0.06883084774017334,0.5757318139076233,0.7956845760345459,8
2485,V,0.12443749606609344,0.1601874977350235,0.06393750011920929,-0.09738799929618835,0.6135581731796265,0.7207354307174683,8
2486,M,-0.030112499371170998,-0.045375000685453415,0.03203750029206276,-0.06076998636126518,0.5918382406234741,0.8279126882553101,8
2487,K,-0.18342499434947968,-0.011274999938905239,0.018149999901652336,-0.0837136059999466,0.604594886302948,0.8811419010162354,8
2488,B,-0.22288750112056732,-0.09968750178813934,0.007562499959021807,-0.10156373679637909,0.6296798586845398,0.7615292072296143,8
2489,A,0.15633749961853027,-0.2733500003814697,0.018149999901652336,-0.10228264331817627,0.5704241394996643,0.8059785962104797,8
2490,R,-0.19731250405311584,0.09418749809265137,0.09171249717473984,0.10411813110113144,0.7131946682929993,0.7527494430541992,8
2491,K,0.05939999967813492,0.07397499680519104,0.02667500078678131,0.02650752291083336,0.6399739384651184,0.7646801471710205,8
2492,F,0.049912501126527786,-0.10821250081062317,-0.038362499326467514,0.1072690561413765,0.6641412377357483,0.7620339393615723,8
2493,E,0.017875000834465027,0.002612499985843897,-0.025575000792741776,0.06382913887500763,0.6885073184967041,0.7312436103820801,8
2494,T,0.030662499368190765,-0.11041250079870224,0.006462499964982271,0.11196484416723251,0.6942278742790222,0.7382796406745911,8
2495,F,0.027499999850988388,0.14423750340938568,0.03519999980926514,0.054559919983148575,0.6890273690223694,0.7405128479003906,8
2496,V,0.025437500327825546,-0.017737500369548798,0.0340999998152256,0.03089740127325058,0.6363029479980469,0.7536671757698059,8
2497,O,-0.089649997651577,-0.13805000483989716,0.032999999821186066,0.047722719609737396,0.6844386458396912,0.7729398012161255,8
2498,G,0.009349999949336052,0.09624999761581421,0.04688749834895134,-0.003670978592708707,0.7117568254470825,0.7131946682929993,8
2499,U,-0.3400374948978424,-0.3596999943256378,-0.038362499326467514,-0.017330078408122063,0.6919794082641602,0.6914746761322021,8
2500,A,-0.0032999999821186066,-0.08910000324249268,-0.030799999833106995,0.006730126682668924,0.67607182264328,0.7517399191856384,8
2501,C,0.025437500327825546,-0.0943249985575676,-0.02447500079870224,0.1070702075958252,0.67412930727005,0.7251253128051758,8
2502,T,-0.38788750767707825,-0.3830749988555908,-0.12457499653100967,-0.10176258534193039,0.7900710701942444,0.6850504875183105,8
2503,L,0.13832500576972961,0.11866249889135361,-0.02227500081062317,0.02702758088707924,0.699826180934906,0.6965681910514832,8
2504,V,-0.0672374963760376,0.09735000133514404,-0.04152499884366989,0.12828540802001953,0.6990154981613159,0.7573381662368774,8
2505,E,-0.09391249716281891,0.01746249943971634,-0.015949999913573265,0.03996777907013893,0.7203224897384644,0.7046290040016174,8
2506,E,-0.07479999959468842,-0.03684999793767929,0.0010999999940395355,0.035073138773441315,0.6907557845115662,0.7385855913162231,8
2507,X,-0.09501250088214874,0.02488750033080578,-0.020212499424815178,0.047523874789476395,0.6821901798248291,0.7173703908920288,8
2508,T,0.04028749838471413,0.13255000114440918,-0.05857500061392784,0.12144821137189865,0.6973788142204285,0.6858611702919006,8
2509,M,0.0147124994546175,-0.016637500375509262,-0.02983750030398369,-0.028037099167704582,0.6888132691383362,0.7273585200309753,8
